dim,price,title,weight,rating
6 x 12.6 x 0.9 inches,,Honeycase Extreme-Duty Military Transformer Hybrid Shockproof & Drop Rresistance Anti-slip Soft Silicone Case Cover for iPad 2 / for iPad 3 / for iPad 4 (Black),1.8 ounces,4 out of 5 stars
10 x 7.6 x 0.8 inches,$15.99,"iPad 2 Case,iPad 3 Case,iPad 4 Case,TOPSKY(TM)[Kickstand Feature],Shock-Absorption / High Impact Resistant Hybrid Three Layer Armor Defender Protective Case Cover with Stylus Pen,Black",12 ounces,4.2 out of 5 stars
9.7 x 7.1 x 0.8 inches,$14.99,"iPad Air Case,ULAK 360 Degrees Rotating Stand Case Bling Honeycomb Cover with Auto Sleep/ Wake Feature for iPad Air/ iPad 5 (2013 Release) (Gold)",11.8 ounces,4.2 out of 5 stars
9.9 x 7.6 x 1 inches,$13.95,New S-Tech Apple iPad 2 3 4 Generation Soft Leather Wallet Smart Cover with Sleep / Wake Feature Flip Case,11.2 ounces,4.5 out of 5 stars
9.7 x 7.5 x 0.8 inches,$15.59,"iPad 2/3/4 Case, Dteck(TM) Cartoon Cute Pattern Magent PU Leather Flip Stand Case with [Cards/Money Slots] Full Body Protective Cover for Apple iPad 2/3/4 (9.7 Inch) (Blue Butterfly)",11.2 ounces,4.1 out of 5 stars
9.6 x 0.3 x 6.9 inches,$18.99,Travellor Three Layer Armor Defender And Full Body Protective Case Cover Bundle with Screen Protector for iPad 2/3/4 - Black/White,3 ounces,4.2 out of 5 stars
11.8 x 7.8 x 0.8 inches,$18.99,"iPad Case,iPad 2/3/4 Case,LittleMax(TM) [Shock Proof] [Scratch Free] Hybrid Hard Protective Case *3 in 1* Combo Bumper Case Cover for iPad 2/3/4 [Free Cleaning Cloth,Stylus Pen] (Dark Blue & Yellow)",0.3 ounces,3.7 out of 5 stars
9.6 x 6.9 x 0.5 inches,$22.94,"TRAVELLOR [Heavy Duty] iPad Case,Three Layer Armor Defender And Full Body Protective Case Cover With Kickstand And Screen Protector for iPad 2/3/4 - Black",4 ounces,4.2 out of 5 stars
9.6 x 6.9 x 0.5 inches,$17.99,"iPad Case, iPad 2 ipad 3 ipad 4 Case Heavy Duty Shockproof Drop Resistance Rugged Silicone + Plastic 2 Layer Hybrid Defender Super Protection Case and Built-in Kickstand for Apple iPad 2&3&4 (IPAD 2/3/4, Orange/Black)",4.8 ounces,3.2 out of 5 stars
11.5 x 1.1 x 5.8 inches,$12.99,Inateck 2-In-1 Apple iPad Air Carrying Protector Case Bag for Apple iPad Air/iPad Air 2 (TPB-IA),1 ounces,4.4 out of 5 stars
11 x 10.2 x 0.8 inches,$14.99,HDE Shock Proof iPad Case for Kids Bumper Cover Handle Stand for Apple iPad 2 iPad 3 iPad 4 (Blue),8.8 ounces,4.3 out of 5 stars
9.1 x 6.2 x 0.3 inches,$8.95,Tech Armor Apple iPad Mini 4 (2015) Anti-Glare/Anti-Fingerprint (Matte) Screen Protectors [2-Pack] Lifetime Warranty,1.6 ounces,4.3 out of 5 stars
9.6 x 7.4 x 0.6 inches,$16.99,"JETech Diamond Folio Leather Smart Cover iPad Case for Apple iPad 2, iPad 3, iPad 4 with Built-in Stand and Front/Back Protection (Built-In Magnet for Sleep/Wake Feature) (Z- Diamond- Black/Black)",5 ounces,3.6 out of 5 stars
10.3 x 8.4 x 0.9 inches,$10.99,"Apple iPad 2/3/4 Case, CINEYO(TM) 360 Degree Rotating Stand Case Cover with Auto Sleep / Wake Feature for iPad 2/3/4(10 Colors)this case is for Apple iPad 2 3 4 (Light Blue)",9.6 ounces,3.8 out of 5 stars
10.4 x 8.5 x 0.8 inches,$5.59,"ULAK 360 Rotating Magnetic Synthetic Leather stand Case Smart Cover For Apple New iPad 4th Generation (Wake/sleep Function) Apple iPad 2, iPad 3(the new iPad)(Pattern-BOLD)",11.7 ounces,4.2 out of 5 stars
9.7 x 8.1 x 0.5 inches,$13.49,"Topsky Case for iPad 2/3/4 Bundle with Stylus Pen, Screen Protector and Microfiber Cleaning Cloth - Grey Blue",8 ounces,3.8 out of 5 stars
9.6 x 0.4 x 7.4 inches,$6.49,"iPad Screen Protector, JETech® 2-Pack Screen Protector Film for Apple iPad 2/3/4, Bubble Free Installation, Anti-Fingerprint, Retail Packaging - HD Clear",2.4 ounces,4.1 out of 5 stars
9.7 x 7.8 x 1.2 inches,$22.99,"Fintie iPad 2/3/4 Case - 360 Degree Rotating Stand Smart Cover with Auto Sleep / Wake Feature for Apple iPad 2, the new iPad 3 & iPad 4th Generation with Retina Display - Love Tree",15.2 ounces,4.3 out of 5 stars
